Date,Open,High,Low,Close,Volume,fng_score,avg_sentiment,news_count,price_change,rsi,volatility_7d,sentiment_sma3,price_change_lag1,sentiment_lag1,Cluster,Risk_Level
2022-03-06,39404.19921875,39640.17578125,38211.6484375,38419.984375,19745229902,22,0.19984819889068603,5,-0.024887994408395286,49.97163259887989,0.07034526751719429,-0.0005926411796883246,0.00671938064683042,-0.1647378106911977,2,High Risk
2022-03-07,38429.3046875,39430.2265625,37260.203125,38062.0390625,28546143503,23,-0.17268193051928565,21,-0.009316643885282638,52.58507168940744,0.03332776318769822,-0.04585718077326578,-0.024887994408395286,0.19984819889068603,2,High Risk
2022-03-08,38059.90234375,39304.44140625,37957.38671875,38737.26953125,25776583476,21,0.26316942139105365,22,0.017740259990833174,51.21627443804242,0.031426120909225544,0.09677856325415134,-0.009316643885282638,-0.17268193051928565,0,Low Risk
2022-03-09,38742.81640625,42465.671875,38706.09375,41982.92578125,32284121034,22,0.2407607463273135,22,0.08378639716414904,61.2618238134226,0.050171764422016644,0.11041607906636049,0.017740259990833174,0.26316942139105365,2,High Risk
2022-03-10,41974.0703125,42004.7265625,38832.94140625,39437.4609375,31078064711,28,0.2778341543106806,21,-0.060630954045771346,52.475491200007845,0.05363444477455026,0.2605881073430159,0.08378639716414904,0.2407607463273135,1,Medium Risk
2022-03-11,39439.96875,40081.6796875,38347.43359375,38794.97265625,26364890465,22,0.2368557027408055,21,-0.016291319622939393,49.050477640879244,0.04477084881069083,0.25181686779293316,-0.060630954045771346,0.2778341543106806,2,High Risk
2022-03-12,38794.46484375,39308.59765625,38772.53515625,38904.01171875,14616450657,22,0.23691063267844065,7,0.002810649293818468,49.54445829100773,0.04469139214572873,0.25053349657664226,-0.016291319622939393,0.2368557027408055,2,High Risk
2022-03-13,38884.7265625,39209.3515625,37728.14453125,37849.6640625,17300745310,21,0.0,3,-0.027101257933814904,50.32177319684713,0.044896168795167536,0.15792211180641538,0.002810649293818468,0.23691063267844065,2,High Risk
2022-03-14,37846.31640625,39742.5,37680.734375,39666.75390625,24322159070,23,0.07673682855523152,23,0.0480080837903738,40.24177779315071,0.04828729850363818,0.10454915374455738,-0.027101257933814904,0.0,2,High Risk
2022-03-15,39664.25,39794.62890625,38310.2109375,39338.78515625,23934000868,21,0.40726090045202346,21,-0.008268101563720931,35.44935880351085,0.04831505653305692,0.16133257633575165,0.0480080837903738,0.07673682855523152,2,High Risk
2022-03-16,39335.5703125,41465.453125,39022.34765625,41143.9296875,39616916192,24,0.08143725465325746,17,0.04588714481344902,42.53058174582519,0.03900419429146222,0.18847832788683747,-0.008268101563720931,0.40726090045202346,2,High Risk
2022-03-17,41140.84375,41287.53515625,40662.87109375,40951.37890625,22009601093,27,0.03161770563859206,13,-0.00467993171076464,45.671233994424185,0.029652682535788778,0.17343862024795764,0.04588714481344902,0.08143725465325746,0,Low Risk
2022-03-18,40944.83984375,42195.74609375,40302.3984375,41801.15625,34421564942,25,0.06750968624563779,17,0.020750884742987363,58.95836032087077,0.02833625031297513,0.060188215512495764,-0.00467993171076464,0.03161770563859206,0,Low Risk
2022-03-19,41794.6484375,42316.5546875,41602.66796875,42190.65234375,19664853187,28,0.24978843331336975,4,0.009317830622209256,59.30468711936484,0.028126547638915853,0.11630527506586652,0.020750884742987363,0.06750968624563779,0,Low Risk
2022-03-20,42191.40625,42241.1640625,41004.7578125,41247.82421875,20127946682,31,0.4755556136369705,4,-0.022346848712323064,59.45447901481708,0.027062583246596893,0.26428457773199265,0.009317830622209256,0.24978843331336975,1,Medium Risk
2022-03-21,41246.1328125,41454.41015625,40668.04296875,41077.99609375,24615543271,30,0.09604930877685547,21,-0.004117262624553253,60.21187573885766,0.022505075038507582,0.27379778524239856,-0.022346848712323064,0.4755556136369705,1,Medium Risk
2022-03-22,41074.10546875,43124.70703125,40948.28125,42358.80859375,32004652376,26,0.43017497658729553,20,0.031180014163224357,61.77928412103804,0.023482313550536607,0.33392663300037384,-0.004117262624553253,0.09604930877685547,1,Medium Risk
2022-03-23,42364.37890625,42893.5078125,41877.5078125,42892.95703125,25242943069,31,0.2101639195492393,19,0.012610091153007819,53.59384082250713,0.01791746730896161,0.2454627349711301,0.031180014163224357,0.43017497658729553,1,Medium Risk
2022-03-24,42886.65234375,44131.85546875,42726.1640625,43960.93359375,31042992291,40,0.2644248627699338,26,0.024898646221148013,70.22387551410682,0.018431343250921495,0.30158791963548953,0.012610091153007819,0.2101639195492393,1,Medium Risk
2022-03-25,43964.546875,44999.4921875,43706.28515625,44348.73046875,30574413034,47,0.2732024138624018,22,0.008821397620525806,75.40880714453705,0.017849278299037753,0.24926373206052496,0.024898646221148013,0.2644248627699338,1,Medium Risk
2022-03-26,44349.859375,44735.99609375,44166.2734375,44500.828125,16950455995,51,0.04611294468243917,6,0.003429583093865096,75.50531419678958,0.0179495634325987,0.1945800737715916,0.008821397620525806,0.2732024138624018,1,Medium Risk
2022-03-27,44505.35546875,46827.546875,44437.29296875,46820.4921875,28160889722,49,0.3998435020446777,5,0.052126312256127294,86.65398545288788,0.019146084487748884,0.2397196201965062,0.003429583093865096,0.04611294468243917,1,Medium Risk
2022-03-28,46821.8515625,48086.8359375,46690.203125,47128.00390625,36362175703,60,0.27761688497331405,18,0.0065678873583499,84.77594668542669,0.017395605371077018,0.2411911105668103,0.052126312256127294,0.3998435020446777,1,Medium Risk
2022-03-29,47100.4375,48022.2890625,47100.4375,47465.73046875,31397059069,56,0.08952716112136841,25,0.0071661546110000085,87.8442456318549,0.017177819896640367,0.25566251604645335,0.0065678873583499,0.27761688497331405,1,Medium Risk
2022-03-30,47456.8984375,47655.1484375,46746.2109375,47062.6640625,29333883962,55,0.4682663194835186,16,-0.008491735032190584,81.70088943490589,0.01965125906197665,0.27847012185940034,0.0071661546110000085,0.08952716112136841,1,Medium Risk
2022-03-31,47062.1484375,47512.02734375,45390.5390625,45538.67578125,33327427106,52,0.32973529895146686,18,-0.03238210822970233,71.5028491071821,0.02524494281622156,0.2958429265187846,-0.008491735032190584,0.4682663194835186,1,Medium Risk
2022-04-01,45554.1640625,46616.2421875,44403.140625,46281.64453125,38162644287,50,-0.059321422468532205,22,0.016315115388267687,71.21461364232428,0.02557491843045346,0.24622673198881775,-0.03238210822970233,0.32973529895146686,1,Medium Risk
2022-04-02,46285.5,47028.28125,45782.51171875,45868.94921875,29336594194,52,0.1191224306821823,8,-0.008917040798352427,67.37814825805862,0.02623047653391338,0.12984543572170565,0.016315115388267687,-0.059321422468532205,1,Medium Risk
2022-04-03,45859.12890625,47313.4765625,45634.10546875,46453.56640625,25414397610,48,0.33379659056663513,6,0.012745379989237415,75.45620486756057,0.016913259275818757,0.1311991995934284,-0.008917040798352427,0.1191224306821823,1,Medium Risk
2022-04-04,46445.2734375,46791.08984375,45235.81640625,46622.67578125,32499785455,52,0.027634256026324105,17,0.003640395949819908,77.11552347949674,0.0167301580589161,0.16018442575838052,0.012745379989237415,0.33379659056663513,1,Medium Risk
2022-04-05,46624.5078125,47106.140625,45544.80859375,45555.9921875,29640604055,53,0.21517431476841803,23,-0.02287907280900814,65.96986700476435,0.017969132058973162,0.19220172045379244,0.003640395949819908,0.027634256026324105,1,Medium Risk
